# MCMC Posterior Means:
Amplitude: 30.5915
Mean: 6114.3548
Sigma: 6.3923
Polynomial Coefficients: [4.310054428948593e-06, -0.07913494486961356, 484.3366054189151, -988080.4412535764]
Chi2: 5.8058e+01
Chi2_nu: 5.2304e-01

# Wavelength  TotalFit  Gaussian  Continuum
5985.837812  49.731707  0.000000  49.731707
5987.770172  50.207866  0.000000  50.207866
5989.702532  50.671239  0.000000  50.671239
5991.634892  51.122013  0.000000  51.122013
5993.567252  51.560373  0.000000  51.560373
5995.499613  51.986508  0.000000  51.986508
5997.431973  52.400603  0.000000  52.400603
5999.364333  52.802845  0.000000  52.802845
6001.296693  53.193420  0.000000  53.193420
6003.229053  53.572516  0.000000  53.572516
6005.161413  53.940318  0.000000  53.940318
6007.093774  54.297014  0.000000  54.297014
6009.026134  54.642790  0.000000  54.642790
6010.958494  54.977832  0.000000  54.977832
6012.890854  55.302327  0.000000  55.302327
6014.823214  55.616462  0.000000  55.616462
6016.755575  55.920424  0.000000  55.920424
6018.687935  56.214398  0.000000  56.214398
6020.620295  56.498571  0.000000  56.498571
6022.552655  56.773131  0.000000  56.773131
6024.485015  57.038264  0.000000  57.038264
6026.417375  57.294156  0.000000  57.294156
6028.349736  57.540993  0.000000  57.540993
6030.282096  57.778963  0.000000  57.778963
6032.214456  58.008253  0.000000  58.008253
6068.929299  60.963540  0.000000  60.963540
6070.861660  61.058395  0.000000  61.058395
6072.794020  61.148488  0.000000  61.148488
6074.726380  61.234005  0.000000  61.234005
6076.658740  61.315134  0.000001  61.315133
6078.591100  61.392063  0.000005  61.392058
6080.523461  61.464992  0.000025  61.464967
6082.455821  61.534166  0.000120  61.534046
6084.388181  61.600000  0.000517  61.599483
6086.320541  61.663500  0.002037  61.661463
6088.252901  61.727502  0.007328  61.720174
6090.185261  61.799856  0.024055  61.775801
6092.117622  61.900603  0.072070  61.828532
6094.049982  62.075624  0.197071  61.878553
6095.982342  62.417863  0.491812  61.926051
6097.914702  63.091397  1.120185  61.971212
6099.847062  64.342815  2.328592  62.014223
6101.779423  66.473111  4.417841  62.055270
6103.711783  69.744161  7.649620  62.094541
6105.644143  74.221008  12.088788  62.132221
6107.576503  79.604170  17.435674  62.168497
6109.508863  85.154882  22.951326  62.203556
6111.441223  89.810960  27.573375  62.237584
6113.373584  92.504041  30.233273  62.270769
6115.305944  92.558039  30.254743  62.303296
6117.238304  89.967514  27.632162  62.335352
6119.170664  85.400063  23.032939  62.367125
6121.103024  79.921333  17.522534  62.398799
6123.035385  74.596836  12.166273  62.430563
6124.967745  70.172192  7.709590  62.462602
6126.900105  66.953905  4.458801  62.495103
6128.832465  64.881774  2.353521  62.528253
6130.764825  63.696025  1.133786  62.562239
6132.697185  63.095737  0.498491  62.597246
6134.629546  62.833493  0.200031  62.633462
6136.561906  62.744330  0.073257  62.671073
6138.494266  62.734752  0.024486  62.710266
6140.426626  62.758697  0.007470  62.751228
6142.358986  62.796223  0.002080  62.794144
6144.291347  62.839730  0.000528  62.839202
6146.223707  62.886710  0.000123  62.886587
6148.156067  62.936514  0.000026  62.936488
6150.088427  62.989095  0.000005  62.989090
6152.020787  63.044581  0.000001  63.044580
6153.953147  63.103144  0.000000  63.103144
6155.885508  63.164969  0.000000  63.164969
6157.817868  63.230242  0.000000  63.230242
6159.750228  63.299150  0.000000  63.299150
6161.682588  63.371878  0.000000  63.371878
6163.614948  63.448614  0.000000  63.448614
6165.547309  63.529544  0.000000  63.529544
6167.479669  63.614854  0.000000  63.614854
6169.412029  63.704732  0.000000  63.704732
6171.344389  63.799363  0.000000  63.799363
6173.276749  63.898935  0.000000  63.898935
6175.209109  64.003634  0.000000  64.003634
6177.141470  64.113647  0.000000  64.113647
6179.073830  64.229160  0.000000  64.229160
6181.006190  64.350360  0.000000  64.350360
6182.938550  64.477433  0.000000  64.477433
6184.870910  64.610566  0.000000  64.610566
6186.803271  64.749946  0.000000  64.749946
6188.735631  64.895759  0.000000  64.895759
6190.667991  65.048191  0.000000  65.048191
6192.600351  65.207430  0.000000  65.207430
6194.532711  65.373663  0.000000  65.373663
6196.465072  65.547074  0.000000  65.547074
6198.397432  65.727852  0.000000  65.727852
6200.329792  65.916183  0.000000  65.916183
6202.262152  66.112253  0.000000  66.112253
6204.194512  66.316249  0.000000  66.316249
6206.126872  66.528357  0.000000  66.528357
6208.059233  66.748765  0.000000  66.748765
6209.991593  66.977658  0.000000  66.977658
6211.923953  67.215224  0.000000  67.215224
6213.856313  67.461648  0.000000  67.461648
6215.788673  67.717119  0.000000  67.717119
6217.721034  67.981821  0.000000  67.981821
6219.653394  68.255942  0.000000  68.255942
6221.585754  68.539668  0.000000  68.539668
6223.518114  68.833186  0.000000  68.833186
6225.450474  69.136683  0.000000  69.136683
6227.382834  69.450345  0.000000  69.450345
6229.315195  69.774358  0.000000  69.774358
6231.247555  70.108910  0.000000  70.108910
6233.179915  70.454186  0.000000  70.454186
6235.112275  70.810374  0.000000  70.810374
6237.044635  71.177660  0.000000  71.177660
6238.976996  71.556231  0.000000  71.556231
6240.909356  71.946273  0.000000  71.946273
6242.841716  72.347973  0.000000  72.347973
6244.774076  72.761517  0.000000  72.761517
6246.706436  73.187092  0.000000  73.187092
