# wavelength	flux	error
4.000000e+03	1.562500e+02	3.125000e+01
4.006006e+03	1.557818e+02	3.115637e+01
4.012012e+03	1.553158e+02	3.106315e+01
4.018018e+03	1.548518e+02	3.097036e+01
4.024024e+03	1.543899e+02	3.087798e+01
4.030030e+03	1.539301e+02	3.078601e+01
4.036036e+03	1.534723e+02	3.069446e+01
4.042042e+03	1.530165e+02	3.060331e+01
4.048048e+03	1.525628e+02	3.051256e+01
4.054054e+03	1.521111e+02	3.042222e+01
4.060060e+03	1.516614e+02	3.033228e+01
4.066066e+03	1.512137e+02	3.024274e+01
4.072072e+03	1.507680e+02	3.015359e+01
4.078078e+03	1.503242e+02	3.006484e+01
4.084084e+03	1.498824e+02	2.997648e+01
4.090090e+03	1.494425e+02	2.988851e+01
4.096096e+03	1.490046e+02	2.980092e+01
4.102102e+03	1.485686e+02	2.971372e+01
4.108108e+03	1.481345e+02	2.962690e+01
4.114114e+03	1.477023e+02	2.954047e+01
4.120120e+03	1.472720e+02	2.945440e+01
4.126126e+03	1.468436e+02	2.936872e+01
4.132132e+03	1.464170e+02	2.928341e+01
4.138138e+03	1.459923e+02	2.919847e+01
4.144144e+03	1.455695e+02	2.911389e+01
4.150150e+03	1.451484e+02	2.902969e+01
4.156156e+03	1.447292e+02	2.894585e+01
4.162162e+03	1.443119e+02	2.886237e+01
4.168168e+03	1.438963e+02	2.877925e+01
4.174174e+03	1.434825e+02	2.869650e+01
4.180180e+03	1.430705e+02	2.861409e+01
4.186186e+03	1.426602e+02	2.853205e+01
4.192192e+03	1.422518e+02	2.845035e+01
4.198198e+03	1.418450e+02	2.836901e+01
4.204204e+03	1.414401e+02	2.828801e+01
4.210210e+03	1.410368e+02	2.820736e+01
4.216216e+03	1.406353e+02	2.812705e+01
4.222222e+03	1.402355e+02	2.804709e+01
4.228228e+03	1.398373e+02	2.796747e+01
4.234234e+03	1.394409e+02	2.788818e+01
4.240240e+03	1.390462e+02	2.780924e+01
4.246246e+03	1.386531e+02	2.773062e+01
4.252252e+03	1.382617e+02	2.765234e+01
4.258258e+03	1.378720e+02	2.757440e+01
4.264264e+03	1.374839e+02	2.749678e+01
4.270270e+03	1.370974e+02	2.741948e+01
4.276276e+03	1.367126e+02	2.734252e+01
4.282282e+03	1.363294e+02	2.726587e+01
4.288288e+03	1.359478e+02	2.718955e+01
4.294294e+03	1.355678e+02	2.711355e+01
4.300300e+03	1.351893e+02	2.703787e+01
4.306306e+03	1.348125e+02	2.696250e+01
