# SDSS Emission Lines
# Reference: https://classic.sdss.org/dr6/algorithms/linestable.php
# Format: wavelength (Angstroms), species name

1033.82,O VI 1034
1215.24,Lyα 1215
1240.81,N V 1241
1305.53,O I 1306
1335.31,C II 1335
1397.61,Si IV 1398
1399.8,Si IV + O IV 1400
1549.48,C IV 1549
1640.4,He II 1640
1665.85,O III 1666
1857.4,Al III 1857
1908.734,C III 1909
2326.0,C II 2326
2439.5,Ne IV 2440
2799.117,Mg II 2799
3346.79,Ne V 3347
3426.85,Ne VI 3427
3727.092,[O II] 3727
3729.875,[O II] 3730
3889.0,He I 3889
4072.3,[S II] 4072
4102.89,Hδ 4103
4341.68,Hγ 4342
4364.436,[O III] 4364
4862.68,Hβ 4863
4932.603,[O III] 4933
4960.295,[O III] 4960
5008.240,[O III] 5008
6302.046,[O I] 6302
6365.536,[O I] 6366
6529.03,[N I] 6529
6549.86,[N II] 6550
6564.61,Hα 6565
6585.27,[N II] 6585
6718.29,[S II] 6718
6732.67,[S II] 6733
